Original Model Parameters,Retrain or Addition,Total Trees,Dataset Increase Number,Binary Polymers Score,Terpolymer Test Score,Combined Test Score
"[8, 4, 8]",Basis,8,0,0.7272727272727273,0.48148148148148145,0.6230366492146597
"[8, 4, 8]",Retrain,8,1,0.7272727272727273,0.5555555555555556,0.6544502617801047
"[8, 4, 8]",Retrain,10,1,0.7090909090909091,0.5802469135802469,0.6544502617801047
"[8, 4, 8]",Addition,10,1,0.7090909090909091,0.5432098765432098,0.6387434554973822
"[8, 4, 8]",Retrain,8,2,0.6909090909090909,0.5925925925925926,0.6492146596858639
"[8, 4, 8]",Retrain,12,2,0.7,0.5679012345679012,0.643979057591623
"[8, 4, 8]",Addition,12,2,0.6272727272727273,0.6666666666666666,0.643979057591623
"[8, 4, 8]",Retrain,8,3,0.7090909090909091,0.6790123456790124,0.6963350785340314
"[8, 4, 8]",Retrain,14,3,0.6909090909090909,0.6419753086419753,0.6701570680628273
"[8, 4, 8]",Addition,14,3,0.5909090909090909,0.8271604938271605,0.6910994764397905
"[8, 4, 8]",Retrain,8,4,0.6727272727272727,0.6296296296296297,0.6544502617801047
"[8, 4, 8]",Retrain,16,4,0.6909090909090909,0.7283950617283951,0.7068062827225131
"[8, 4, 8]",Addition,16,4,0.6090909090909091,0.9506172839506173,0.7539267015706806
"[8, 4, 8]",Retrain,8,5,0.6727272727272727,0.7283950617283951,0.6963350785340314
"[8, 4, 8]",Retrain,18,5,0.6363636363636364,0.7901234567901234,0.7015706806282722
"[8, 4, 8]",Addition,18,5,0.5909090909090909,0.9506172839506173,0.743455497382199
"[8, 4, 8]",Retrain,8,6,0.7,0.8148148148148148,0.7486910994764397
"[8, 4, 8]",Retrain,20,6,0.7090909090909091,0.8395061728395061,0.7643979057591623
"[8, 4, 8]",Addition,20,6,0.5636363636363636,0.9629629629629629,0.7329842931937173
"[8, 4, 8]",Retrain,8,7,0.6818181818181818,0.8641975308641975,0.7591623036649214
"[8, 4, 8]",Retrain,22,7,0.6636363636363637,0.8888888888888888,0.7591623036649214
"[8, 4, 8]",Addition,22,7,0.5363636363636364,0.9506172839506173,0.7120418848167539
