Original Model Parameters,Retrain or Addition,Total Trees,Dataset Increase Number,Binary Polymers Score,Terpolymer Test Score,Combined Test Score
"[8, 2, 8]",Basis,8,0,0.9230769230769231,0.35802469135802467,0.5416666666666666
"[8, 2, 8]",Retrain,8,1,0.9230769230769231,0.6172839506172839,0.7166666666666667
"[8, 2, 8]",Retrain,10,1,0.9487179487179487,0.6172839506172839,0.725
"[8, 2, 8]",Addition,10,1,0.8717948717948718,0.4691358024691358,0.6
"[8, 2, 8]",Retrain,8,2,0.7692307692307693,0.8148148148148148,0.8
"[8, 2, 8]",Retrain,12,2,0.8461538461538461,0.7654320987654321,0.7916666666666666
"[8, 2, 8]",Addition,12,2,0.8205128205128205,0.7283950617283951,0.7583333333333333
"[8, 2, 8]",Retrain,8,3,0.8717948717948718,0.7777777777777778,0.8083333333333333
"[8, 2, 8]",Retrain,14,3,0.8205128205128205,0.8024691358024691,0.8083333333333333
"[8, 2, 8]",Addition,14,3,0.6923076923076923,0.9135802469135802,0.8416666666666667
"[8, 2, 8]",Retrain,8,4,0.8205128205128205,0.9135802469135802,0.8833333333333333
"[8, 2, 8]",Retrain,16,4,0.7948717948717948,0.8765432098765432,0.85
"[8, 2, 8]",Addition,16,4,0.6410256410256411,0.9506172839506173,0.85
"[8, 2, 8]",Retrain,8,5,0.8461538461538461,0.9135802469135802,0.8916666666666667
"[8, 2, 8]",Retrain,18,5,0.8717948717948718,0.8888888888888888,0.8833333333333333
"[8, 2, 8]",Addition,18,5,0.6410256410256411,0.9506172839506173,0.85
"[8, 2, 8]",Retrain,8,6,0.7692307692307693,0.9506172839506173,0.8916666666666667
"[8, 2, 8]",Retrain,20,6,0.7692307692307693,0.9382716049382716,0.8833333333333333
"[8, 2, 8]",Addition,20,6,0.5641025641025641,0.9629629629629629,0.8333333333333334
"[8, 2, 8]",Retrain,8,7,0.7948717948717948,0.9753086419753086,0.9166666666666666
"[8, 2, 8]",Retrain,22,7,0.7692307692307693,0.9753086419753086,0.9083333333333333
"[8, 2, 8]",Addition,22,7,0.5128205128205128,0.9506172839506173,0.8083333333333333
"[8, 2, 8]",Retrain,8,8,0.6410256410256411,0.9629629629629629,0.8583333333333333
"[8, 2, 8]",Retrain,24,8,0.717948717948718,0.9629629629629629,0.8833333333333333
"[8, 2, 8]",Addition,24,8,0.5128205128205128,0.9506172839506173,0.8083333333333333
"[8, 2, 8]",Retrain,8,9,0.6923076923076923,0.9629629629629629,0.875
"[8, 2, 8]",Retrain,26,9,0.6666666666666666,0.9629629629629629,0.8666666666666667
"[8, 2, 8]",Addition,26,9,0.5128205128205128,0.9506172839506173,0.8083333333333333
"[8, 2, 8]",Retrain,8,10,0.6666666666666666,0.9506172839506173,0.8583333333333333
"[8, 2, 8]",Retrain,28,10,0.717948717948718,0.9629629629629629,0.8833333333333333
"[8, 2, 8]",Addition,28,10,0.5128205128205128,0.9629629629629629,0.8166666666666667
"[16, 4, 128]",Basis,16,0,0.9743589743589743,0.4444444444444444,0.6166666666666667
"[16, 4, 128]",Retrain,16,1,0.9743589743589743,0.691358024691358,0.7833333333333333
"[16, 4, 128]",Retrain,18,1,0.9487179487179487,0.7037037037037037,0.7833333333333333
"[16, 4, 128]",Addition,18,1,0.9487179487179487,0.49382716049382713,0.6416666666666667
"[16, 4, 128]",Retrain,16,2,0.8974358974358975,0.7530864197530864,0.8
"[16, 4, 128]",Retrain,20,2,0.8974358974358975,0.8148148148148148,0.8416666666666667
"[16, 4, 128]",Addition,20,2,0.8974358974358975,0.5925925925925926,0.6916666666666667
"[16, 4, 128]",Retrain,16,3,0.8974358974358975,0.8641975308641975,0.875
"[16, 4, 128]",Retrain,22,3,0.8974358974358975,0.8888888888888888,0.8916666666666667
"[16, 4, 128]",Addition,22,3,0.8461538461538461,0.6296296296296297,0.7
"[16, 4, 128]",Retrain,16,4,0.9230769230769231,0.8765432098765432,0.8916666666666667
"[16, 4, 128]",Retrain,24,4,0.9230769230769231,0.8765432098765432,0.8916666666666667
