Original Model Parameters,Retrain or Addition,Dataset Increase Number,Binary Polymers Score,Terpolymer Test Score,Combined Test Score
"['hinge', 0.1]",Basis,0,0.6727272727272727,0.38271604938271603,0.5497382198952879
"['hinge', 0.1]",Retrain,1,0.7363636363636363,0.4567901234567901,0.6178010471204188
"['hinge', 0.1]",Addition,1,0.509090909090909,0.9259259259259259,0.6858638743455497
"['hinge', 0.1]",Retrain,2,0.6636363636363637,0.7283950617283951,0.6910994764397905
"['hinge', 0.1]",Addition,2,0.5,0.9506172839506173,0.6910994764397905
"['hinge', 0.1]",Retrain,3,0.6,0.8395061728395061,0.7015706806282722
"['hinge', 0.1]",Addition,3,0.5,0.9506172839506173,0.6910994764397905
"['hinge', 0.1]",Retrain,4,0.7090909090909091,0.7407407407407407,0.7225130890052356
"['hinge', 0.1]",Addition,4,0.4909090909090909,0.9506172839506173,0.6858638743455497
"['hinge', 0.1]",Retrain,5,0.6909090909090909,0.8148148148148148,0.743455497382199
"['hinge', 0.1]",Addition,5,0.5,0.9506172839506173,0.6910994764397905
"['hinge', 0.1]",Retrain,6,0.6727272727272727,0.9012345679012346,0.7696335078534031
"['hinge', 0.1]",Addition,6,0.5,0.9506172839506173,0.6910994764397905
"['hinge', 0.1]",Retrain,7,0.6454545454545455,0.9259259259259259,0.7643979057591623
"['hinge', 0.1]",Addition,7,0.5,0.9506172839506173,0.6910994764397905
"['hinge', 0.1]",Retrain,8,0.6272727272727273,0.9382716049382716,0.7591623036649214
"['hinge', 0.1]",Addition,8,0.4909090909090909,0.9506172839506173,0.6858638743455497
"['hinge', 0.1]",Retrain,9,0.5636363636363636,0.9506172839506173,0.7277486910994765
"['hinge', 0.1]",Addition,9,0.4909090909090909,0.9506172839506173,0.6858638743455497
"['hinge', 0.1]",Retrain,10,0.6909090909090909,0.9012345679012346,0.7801047120418848
"['hinge', 0.1]",Addition,10,0.4909090909090909,0.9506172839506173,0.6858638743455497
"['log_loss', 0.01]",Basis,0,0.7909090909090909,0.4691358024691358,0.6544502617801047
"['log_loss', 0.01]",Retrain,1,0.7818181818181819,0.5925925925925926,0.7015706806282722
"['log_loss', 0.01]",Addition,1,0.5,0.9506172839506173,0.6910994764397905
"['log_loss', 0.01]",Retrain,2,0.509090909090909,0.9506172839506173,0.6963350785340314
"['log_loss', 0.01]",Addition,2,0.5,0.9506172839506173,0.6910994764397905
"['log_loss', 0.01]",Retrain,3,0.6818181818181818,0.654320987654321,0.6701570680628273
"['log_loss', 0.01]",Addition,3,0.509090909090909,0.9382716049382716,0.6910994764397905
"['log_loss', 0.01]",Retrain,4,0.7,0.7654320987654321,0.7277486910994765
"['log_loss', 0.01]",Addition,4,0.5,0.9382716049382716,0.6858638743455497
"['log_loss', 0.01]",Retrain,5,0.7454545454545455,0.8641975308641975,0.7958115183246073
"['log_loss', 0.01]",Addition,5,0.5,0.9506172839506173,0.6910994764397905
"['log_loss', 0.01]",Retrain,6,0.7181818181818181,0.9382716049382716,0.8115183246073299
"['log_loss', 0.01]",Addition,6,0.5,0.9506172839506173,0.6910994764397905
"['log_loss', 0.01]",Retrain,7,0.6818181818181818,0.9382716049382716,0.7905759162303665
"['log_loss', 0.01]",Addition,7,0.5,0.9506172839506173,0.6910994764397905
"['log_loss', 0.01]",Retrain,8,0.6818181818181818,0.9382716049382716,0.7905759162303665
"['log_loss', 0.01]",Addition,8,0.5,0.9506172839506173,0.6910994764397905
"['log_loss', 0.01]",Retrain,9,0.509090909090909,0.9506172839506173,0.6963350785340314
"['log_loss', 0.01]",Addition,9,0.4909090909090909,0.9506172839506173,0.6858638743455497
"['log_loss', 0.01]",Retrain,10,0.5636363636363636,0.9506172839506173,0.7277486910994765
"['log_loss', 0.01]",Addition,10,0.5,0.9506172839506173,0.6910994764397905
"['perceptron', 0.001]",Basis,0,0.7727272727272727,0.5802469135802469,0.6910994764397905
"['perceptron', 0.001]",Retrain,1,0.509090909090909,0.9382716049382716,0.6910994764397905
"['perceptron', 0.001]",Addition,1,0.4909090909090909,0.9506172839506173,0.6858638743455497
"['perceptron', 0.001]",Retrain,2,0.7454545454545455,0.6296296296296297,0.6963350785340314
"['perceptron', 0.001]",Addition,2,0.4909090909090909,0.9506172839506173,0.6858638743455497
"['perceptron', 0.001]",Retrain,3,0.6,0.9506172839506173,0.7486910994764397
"['perceptron', 0.001]",Addition,3,0.7545454545454545,0.6049382716049383,0.6910994764397905
"['perceptron', 0.001]",Retrain,4,0.4909090909090909,0.9506172839506173,0.6858638743455497
"['perceptron', 0.001]",Addition,4,0.509090909090909,0.9506172839506173,0.6963350785340314
"['perceptron', 0.001]",Retrain,5,0.6,0.7160493827160493,0.6492146596858639
"['perceptron', 0.001]",Addition,5,0.509090909090909,0.9259259259259259,0.6858638743455497
"['perceptron', 0.001]",Retrain,6,0.6181818181818182,0.8024691358024691,0.6963350785340314
"['perceptron', 0.001]",Addition,6,0.4909090909090909,0.9506172839506173,0.6858638743455497
"['perceptron', 0.001]",Retrain,7,0.6636363636363637,0.7901234567901234,0.7172774869109948
"['perceptron', 0.001]",Addition,7,0.5363636363636364,0.8641975308641975,0.675392670157068
"['perceptron', 0.001]",Retrain,8,0.5818181818181818,0.6666666666666666,0.6178010471204188
"['perceptron', 0.001]",Addition,8,0.4909090909090909,0.9506172839506173,0.6858638743455497
"['perceptron', 0.001]",Retrain,9,0.7454545454545455,0.8518518518518519,0.7905759162303665
"['perceptron', 0.001]",Addition,9,0.4909090909090909,0.9506172839506173,0.6858638743455497
"['perceptron', 0.001]",Retrain,10,0.6454545454545455,0.8395061728395061,0.7277486910994765
"['perceptron', 0.001]",Addition,10,0.4909090909090909,0.9506172839506173,0.6858638743455497
