ChromatogramRI,
X:,Y:
6,0.018
6.00167,0.013
6.00333,0.009
6.005,0
6.00667,-0.004
6.00833,-0.005
6.01,-0.001
6.01167,0.003
6.01333,0.008
6.015,0.008
6.01667,0.013
6.01833,0.009
6.02,0.004
6.02167,-0.006
6.02333,-0.005
6.025,-0.005
6.02667,0
6.02833,0.009
6.03,0.019
6.03167,0.018
6.03333,0.023
6.035,0.013
6.03667,0.004
6.03833,0
6.04,-0.004
6.04167,-0.004
6.04333,0
6.045,0.001
6.04667,0.006
6.04833,0.007
6.05,0.007
6.05167,0.006
6.05333,0.001
6.055,-0.004
6.05667,-0.005
6.05833,-0.006
6.06,0.003
6.06167,0.007
6.06333,0.011
6.065,0.01
6.06667,0.006
6.06833,0.005
6.07,0.001
6.07167,0.001
6.07333,0.002
6.075,0.007
6.07667,0.012
6.07833,0.013
6.08,0.013
6.08167,0.013
6.08333,0.008
6.085,0.003
6.08667,0
6.08833,-0.004
6.09,-0.008
6.09167,-0.008
6.09333,0.002
6.095,0.007
6.09667,0.011
6.09833,0.011
6.1,0.011
6.10167,0
6.10333,-0.004
6.105,-0.005
6.10667,0
6.10833,0.009
6.11,0.019
6.11167,0.024
6.11333,0.029
6.115,0.028
6.11667,0.023
6.11833,0.014
6.12,0.014
6.12167,0.009
6.12333,0.014
6.125,0.02
6.12667,0.026
6.12833,0.035
6.13,0.03
6.13167,0.025
6.13333,0.015
6.135,0.01
6.13667,0
6.13833,0
6.14,0
6.14167,0.01
6.14333,0.02
6.145,0.02
6.14667,0.019
6.14833,0.013
6.15,0.003
6.15167,-0.001
6.15333,-0.006
6.155,-0.006
6.15667,0.003
6.15833,0.013
6.16,0.019
6.16167,0.02
6.16333,0.015
6.165,0.011
6.16667,0.006
6.16833,-0.003
6.17,-0.003
6.17167,-0.003
6.17333,0.006
6.175,0.006
6.17667,0.016
6.17833,0.017
6.18,0.017
6.18167,0.011
6.18333,0.006
6.185,0.007
6.18667,0.002
6.18833,0.007
6.19,0.017
6.19167,0.017
6.19333,0.022
6.195,0.017
6.19667,0.012
6.19833,0.008
6.2,0.008
6.20167,-0.001
6.20333,0.002
6.205,0.008
6.20667,0.018
6.20833,0.023
6.21,0.023
6.21167,0.024
6.21333,0.02
6.215,0.017
6.21667,0.012
6.21833,0.008
6.22,0.013
6.22167,0.023
6.22333,0.028
6.225,0.037
6.22667,0.033
6.22833,0.028
6.23,0.028
6.23167,0.023
6.23333,0.023
6.235,0.019
6.23667,0.019
6.23833,0.024
6.24,0.034
6.24167,0.034
6.24333,0.033
6.245,0.023
6.24667,0.023
6.24833,0.013
6.25,0.007
6.25167,0.007
6.25333,0.007
6.255,0.021
6.25667,0.026
6.25833,0.026
6.26,0.031
6.26167,0.026
6.26333,0.02
6.265,0.015
6.26667,0.014
6.26833,0.019
6.27,0.025
6.27167,0.034
6.27333,0.039
6.275,0.04
6.27667,0.04
6.27833,0.035
6.28,0.026
6.28167,0.021
6.28333,0.011
6.285,0.015
6.28667,0.024
6.28833,0.033
6.29,0.037
6.29167,0.038
6.29333,0.033
6.295,0.029
6.29667,0.014
6.29833,0.014
6.3,0.009
6.30167,0.014
6.30333,0.024
6.305,0.029
6.30667,0.028
6.30833,0.029
6.31,0.024
6.31167,0.02
6.31333,0.016
6.315,0.011
6.31667,0.012
6.31833,0.022
6.32,0.032
6.32167,0.031
6.32333,0.025
6.325,0.025
6.32667,0.02
6.32833,0.015
6.33,0.01
6.33167,0.005
6.33333,0.01
6.335,0.015
6.33667,0.025
6.33833,0.04
6.34,0.04
6.34167,0.039
6.34333,0.033
6.345,0.022
6.34667,0.016
6.34833,0.011
6.35,0.016
6.35167,0.021
6.35333,0.031
6.355,0.035
6.35667,0.035
6.35833,0.035
6.36,0.025
6.36167,0.02
6.36333,0.015
6.365,0.015
6.36667,0.015
6.36833,0.029
6.37,0.038
6.37167,0.037
6.37333,0.037
6.375,0.033
6.37667,0.028
6.37833,0.024
6.38,0.019
6.38167,0.019
6.38333,0.025
6.385,0.03
6.38667,0.035
6.38833,0.035
6.39,0.035
6.39167,0.035
6.39333,0.024
6.395,0.02
6.39667,0.02
6.39833,0.026
6.4,0.031
6.40167,0.041
6.40333,0.042
6.405,0.039
6.40667,0.035
6.40833,0.026
6.41,0.026
6.41167,0.021
6.41333,0.014
6.415,0.024
6.41667,0.034
6.41833,0.039
6.42,0.044
6.42167,0.044
6.42333,0.034
6.425,0.028
6.42667,0.023
6.42833,0.014
6.43,0.013
6.43167,0.023
6.43333,0.033
6.435,0.037
6.43667,0.041
6.43833,0.04
6.44,0.039
6.44167,0.034
6.44333,0.024
6.445,0.019
6.44667,0.019
6.44833,0.028
6.45,0.037
6.45167,0.047
6.45333,0.052
6.455,0.047
6.45667,0.037
6.45833,0.027
6.46,0.017
6.46167,0.017
6.46333,0.022
6.465,0.031
6.46667,0.035
6.46833,0.036
6.47,0.041
6.47167,0.036
6.47333,0.027
6.475,0.017
6.47667,0.013
6.47833,0.013
6.48,0.022
6.48167,0.025
6.48333,0.035
6.485,0.04
6.48667,0.035
6.48833,0.036
6.49,0.031
6.49167,0.026
6.49333,0.026
6.495,0.026
6.49667,0.026
6.49833,0.031
6.5,0.031
6.50167,0.035
6.50333,0.03
6.505,0.025
6.50667,0.02
6.50833,0.016
6.51,0.011
6.51167,0.016
6.51333,0.022
6.515,0.028
6.51667,0.028
6.51833,0.033
6.52,0.032
6.52167,0.026
6.52333,0.021
6.525,0.016
6.52667,0.012
6.52833,0.017
6.53,0.022
6.53167,0.027
6.53333,0.027
6.535,0.028
6.53667,0.028
6.53833,0.019
6.54,0.009
6.54167,0.008
6.54333,0.012
6.545,0.016
6.54667,0.026
6.54833,0.035
6.55,0.039
6.55167,0.039
6.55333,0.028
6.555,0.022
6.55667,0.016
6.55833,0.01
6.56,0.015
6.56167,0.025
6.56333,0.035
6.565,0.036
6.56667,0.042
6.56833,0.037
6.57,0.031
6.57167,0.026
6.57333,0.015
6.575,0.015
6.57667,0.021
6.57833,0.035
6.58,0.041
6.58167,0.041
6.58333,0.042
6.585,0.037
6.58667,0.038
6.58833,0.025
6.59,0.021
6.59167,0.016
6.59333,0.03
6.595,0.039
6.59667,0.039
6.59833,0.039
6.6,0.033
6.60167,0.023
6.60333,0.018
6.605,0.013
6.60667,0.007
6.60833,0.011
6.61,0.025
6.61167,0.039
6.61333,0.049
6.615,0.049
6.61667,0.045
6.61833,0.045
6.62,0.034
6.62167,0.029
6.62333,0.03
6.625,0.035
6.62667,0.041
6.62833,0.056
6.63,0.061
6.63167,0.061
6.63333,0.05
6.635,0.039
6.63667,0.033
6.63833,0.023
6.64,0.018
6.64167,0.018
6.64333,0.029
6.645,0.04
6.64667,0.045
6.64833,0.044
6.65,0.044
6.65167,0.033
6.65333,0.029
6.655,0.024
6.65667,0.03
6.65833,0.03
6.66,0.036
6.66167,0.04
6.66333,0.039
6.665,0.045
6.66667,0.038
6.66833,0.033
6.67,0.023
6.67167,0.024
6.67333,0.03
6.675,0.04
6.67667,0.051
6.67833,0.046
6.68,0.051
6.68167,0.051
6.68333,0.047
6.685,0.042
6.68667,0.032
6.68833,0.032
6.69,0.033
6.69167,0.038
6.69333,0.044
6.695,0.044
6.69667,0.044
6.69833,0.039
6.7,0.034
6.70167,0.024
6.70333,0.024
6.705,0.024
6.70667,0.034
6.70833,0.044
6.71,0.056
6.71167,0.061
6.71333,0.056
6.715,0.045
6.71667,0.04
6.71833,0.029
6.72,0.022
6.72167,0.026
6.72333,0.031
6.725,0.04
6.72667,0.046
6.72833,0.051
6.73,0.052
6.73167,0.047
6.73333,0.032
6.735,0.028
6.73667,0.023
6.73833,0.033
6.74,0.049
6.74167,0.059
6.74333,0.059
6.745,0.054
6.74667,0.044
6.74833,0.039
6.75,0.029
6.75167,0.019
6.75333,0.019
6.755,0.029
6.75667,0.038
6.75833,0.043
6.76,0.048
6.76167,0.048
6.76333,0.043
6.765,0.038
6.76667,0.033
6.76833,0.028
