ChromatogramRI,
X:,Y:
6,0.029
6.00167,0.024
6.00333,0.018
6.005,0.013
6.00667,0.009
6.00833,0.004
6.01,0.008
6.01167,0.013
6.01333,0.018
6.015,0.024
6.01667,0.025
6.01833,0.026
6.02,0.022
6.02167,0.017
6.02333,0.018
6.025,0.014
6.02667,0.019
6.02833,0.023
6.03,0.028
6.03167,0.034
6.03333,0.034
6.035,0.029
6.03667,0.024
6.03833,0.02
6.04,0.015
6.04167,0.014
6.04333,0.018
6.045,0.028
6.04667,0.038
6.04833,0.043
6.05,0.048
6.05167,0.043
6.05333,0.033
6.055,0.029
6.05667,0.024
6.05833,0.029
6.06,0.034
6.06167,0.044
6.06333,0.05
6.065,0.051
6.06667,0.051
6.06833,0.046
6.07,0.036
6.07167,0.031
6.07333,0.026
6.075,0.026
6.07667,0.031
6.07833,0.04
6.08,0.045
6.08167,0.045
6.08333,0.044
6.085,0.04
6.08667,0.031
6.08833,0.031
6.09,0.026
6.09167,0.03
6.09333,0.039
6.095,0.044
6.09667,0.049
6.09833,0.054
6.1,0.045
6.10167,0.045
6.10333,0.035
6.105,0.03
6.10667,0.034
6.10833,0.039
6.11,0.043
6.11167,0.053
6.11333,0.053
6.115,0.056
6.11667,0.056
6.11833,0.05
6.12,0.044
6.12167,0.04
6.12333,0.045
6.125,0.051
6.12667,0.062
6.12833,0.061
6.13,0.066
6.13167,0.061
6.13333,0.061
6.135,0.051
6.13667,0.047
6.13833,0.043
6.14,0.048
6.14167,0.053
6.14333,0.064
6.145,0.07
6.14667,0.072
6.14833,0.067
6.15,0.062
6.15167,0.052
6.15333,0.051
6.155,0.051
6.15667,0.056
6.15833,0.061
6.16,0.061
6.16167,0.066
6.16333,0.061
6.165,0.061
6.16667,0.055
6.16833,0.046
6.17,0.045
6.17167,0.045
6.17333,0.055
6.175,0.061
6.17667,0.071
6.17833,0.07
6.18,0.07
6.18167,0.065
6.18333,0.06
6.185,0.055
6.18667,0.054
6.18833,0.054
6.19,0.064
6.19167,0.079
6.19333,0.085
6.195,0.084
6.19667,0.084
6.19833,0.073
6.2,0.068
6.20167,0.058
6.20333,0.059
6.205,0.065
6.20667,0.075
6.20833,0.082
6.21,0.083
6.21167,0.078
6.21333,0.079
6.215,0.069
6.21667,0.064
6.21833,0.06
6.22,0.065
6.22167,0.065
6.22333,0.08
6.225,0.09
6.22667,0.089
6.22833,0.095
6.23,0.088
6.23167,0.073
6.23333,0.068
6.235,0.063
6.23667,0.062
6.23833,0.067
6.24,0.072
6.24167,0.083
6.24333,0.083
6.245,0.079
6.24667,0.074
6.24833,0.069
6.25,0.063
6.25167,0.062
6.25333,0.071
6.255,0.086
6.25667,0.097
6.25833,0.098
6.26,0.098
6.26167,0.088
6.26333,0.083
6.265,0.078
6.26667,0.074
6.26833,0.069
6.27,0.08
6.27167,0.09
6.27333,0.096
6.275,0.101
6.27667,0.101
6.27833,0.1
6.28,0.095
6.28167,0.083
6.28333,0.078
6.285,0.084
6.28667,0.089
6.28833,0.095
6.29,0.102
6.29167,0.103
