Polymer_Name_P,Mn,Mw,D,THF Soluble,Ordering,Crystalline,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,Ratio 1,Ratio 2,Ratio 3
SUA50_MRD25_BPA25_P,5837,10850,1.858,N,1,NA,T1_A1,1,viscous,Y,Y,Color Interference,20230910,2,1.6,0.4
EBA50_MRD25_PRD25_P,10040,14470,1.441,Y,2,NA,T1_A2,1,viscous,Y,Y,Clear Zone,20230910,2,1.6,0.4
GLA50_MRD25_BTD25_P,10690,17750,1.66,Y,3,NA,T1_A3,1,viscous,Y,Y,Clear Zone,20230910,2,1.7,0.3
SUA50_MRD25_PTD25_P,10910,16590,1.521,Y,4,NA,T1_A4,1,viscous,Y,Y,Clear Zone,20230910,2,1.1,0.9
AZA50_MRD25_CHM25_P,12390,20000,1.614,Y,5,NA,T1_A5,1,viscous,Y,Y,Distributed,20231209,2,1.9,0.1
SUA50_MRD25_DPD25_P,10940,16980,1.552,Y,6,NA,T1_A6,1,viscous,Y,Y,Distributed,20230910,2,1.2,0.8
SCA50_MRD25_BTD25_P,8085,13230,1.636,Y,7,NA,T1_A7,1,viscous,Y,Y,Clear Zone,20230910,2,0.4,1.6
DGA25_SUA25_MRD50_P,,,,,8,NA,T1_A10,2,viscous,Y,Y,Distributed,20230910,1,1,2
DGA50_MRD25_BND25_P,,,,,9,N,T1_A8,2,"solid (elastic, lightly opaque)",Y,Y,Clear Zone,20230910,2,1.1,0.9
ADA25_CCD25_MRD50_P,,,,,10,NA,T1_A9,2,viscous,Y,Y,Distributed,20230910,1,1,2
GLA25_EBA25_MRD50_P,,,,,11,NA,T1_B1,2,viscous,Y,Y,Clear Zone,20230910,1.1,0.9,2
ADA25_TOA25_MRD50_P,,,,,12,NA,T1_B2,2,viscous,Y,Y,Clear Zone,20230910,1,1,2
DGA50_BTD25_GGE25_P,,,,,13,N,T1_B3,2,solid (glassy),Y,Y,Clear Zone - double degradation,20230910,2,1.2,0.8
SCA50_BTD25_CHD25_P,,,,,14,N,T1_B4,2,"solid (glassy, clear)",Y,Y,Distributed,20230910,2,0.9,1.1
CCD50_BTD25_TPG25_P,,,,,15,,Revisions_1,,,Y,Y,Distributed,Revision,2,1,1
SBA50_BTD25_TPD25_P,,,,,16,NA,T1_B6,2,viscous,Y,N,NA,20230910,2,1,1
ADA50_BTD25_GGE25_P,,,,,17,,Revisions_2,,,Y,Y,Distributed,Revision,2,0.9,1.1
CCD50_BTD25_DCD25_P,,,,,18,N,T1_B10,3,"solid (waxy, opaque)",Y,Y,Distributed,20231018,2,0.9,1.1
TOA50_BTD25_PPD25_P,,,,,19,NA,T1_B8,3,viscous,Y,Y,Clear Zone,20231018,2,0.9,1.1
TOA50_BTD25_BND25_P,,,,,20,NA,T1_B9,3,viscous,Y,Y,Clear Zone,20230910,2,0.9,1.1
SUA50_BTD25_BND25_P,,,,,21,,Revisions_5,,,Y,Y,Distributed,Revision,2,0.8,1.2
SCA50_BTD25_PRD25_P,,,,,22,N,T1_C2,3,"solid (elastic, clear)",Y,Y,Clear Zone,20230910,2,0.9,1.1
DGA50_BTD25_DMD25_P,,,,,23,,Revisions_6,,,Y,Y,Clear Zone,20230910,2,0.9,1.1
GLA50_BTD25_DMD25_P,,,,,24,NA,Revisions_7,,viscous,Y,Y,Distributed,Revision,2,0.7,1.3
TOA50_BTD25_ETG25_P,,,,,25,NA,T1_C5,3,viscous,Y,Y,Clear Zone,20230910,2,0.9,1.1
CCD50_PRD25_BPA25_P,,,,,26,,Revisions_8,,,Y,Y,Distributed,Revision,2,2,0
SUA25_SBA25_BTD50_P,,,,,27,,Revisions_9,,,Y,Y,Distributed,Revision,1,1,2
