Polymer_Name_P,Mn,Mw,D,THF Soluble,DMF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3
ADA25_AZA25_CHM50_P,,,,,,,T2_H10,20,"solid (elastic, opaque)",Y,Y,Distributed,20231115,P,,1.1:0.9:2,1.1,0.9,2
ADA25_CCD25_BED50_P,,,,,,,T3_A7,22,,Y,Y,Distributed,20231209,P,,0.6:1.4:2,0.6,1.4,2
ADA25_CCD25_MRD50_P,,,,,,,T1_A9,2,viscous,Y,Y,Distributed,20230910,Y,Y,1.0:1.0:2,1,1,2
ADA25_SUA25_MPD50_P,,,,,,,T2_J4,21,,Y,Y,Distributed,20231115,,,1.0:1.0:2,1,1,2
ADA25_SUA25_TPG50_P,,,,,,,T2_H2,19,viscous,Y,Y,Clear Zone,20231115,P,,1.0:1.0:2,1,1,2
ADA25_TOA25_MRD50_P,,,,,,,T1_B2,2,viscous,Y,Y,Clear Zone,20230910,Y,Y,1.0:1.0:2,1,1,2
ADA50_BTD25_GGE25_P,,,,,,,T1_B7,2,viscous,Y,Y,Clear Zone,20231209,Y,Y,2.0:2.0:0,2,2,0
ADA50_CHD25_OTD25_P,,,,,,,T3_A8,22,,Y,Y,Distributed,20231209,P,,2:0.9:1.1,2,0.9,1.1
ADA50_CHM25_CHD25_P,,,,,,,T2_H4,19,"solid (waxy, opaque)",Y,Y,Distributed,20231115,P,,2:1.0:1.0,2,1,1
ADA50_DEG25_CHM25_P,,,,,,,T2_E9,17,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,P,Y,2:0.8:1.2,2,0.8,1.2
ADA50_DEG25_GGE25_P,,,,,,,T2_F3,17,viscous,Y,Y,Clear Zone,20231115,P,Y,2:1.0:1.0,2,1,1
