,Name,SMILES_List,Ratio_List,Biodegradability
3,AC_102,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCCCCCO']","[1, 1]",0
4,AC_103,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
7,AC_107,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",1
8,AC_109,"['C(=O)c(cc1)ccc1C(=O)', 'OC(C)C(C)O']","[1, 1]",0
13,AC_114,"['C(=O)c(cc1)ccc1C(=O)', 'OCCSSCCO']","[1, 1]",0
22,AC_131,"['C(=O)CC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O']","[1, 1]",0
23,AC_132,"['C(=O)c(cccc1)c1C(=O)', 'OC(CO1)C2C1C(CO2)O']","[1, 1]",0
27,AC_151,"['C(=O)CC(=O)', ' Oc1ccc(cc1)C2(CCCCC2)c3ccc(O)cc3']","[1, 1]",1
30,AC_159,"['C(=O)c(cccc1)c1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
37,AC_172,"['C(=O)CC(=O)', 'Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O']","[1, 1]",1
39,AC_175,"['C(=O)CC(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
46,AC_194,"['C(=O)C(=O)', 'OCCCCCCCCO']","[1, 1]",1
52,AC_21,"['C(=O)CCCCCCCCC(=O)', 'OC(CS1)SCC1O']","[1, 1]",1
55,AC_223,"['C(=O)CCC(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",1
66,AC_237,"['C(=O)CCC(=O)', 'OCC=CCO']","[1, 1]",1
69,AC_24,"['C(=O)CCCCCCCCC(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
72,AC_244,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O']","[1, 1]",0
79,AC_257,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O']","[1, 1]",0
81,AC_26,"['C(=O)CCCCCCCCC(=O)', 'OCC#CCO']","[1, 1]",0
86,AC_264,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
90,AC_275,"['C(=O)CCCCC(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
91,AC_277,"['C(=O)CCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
99,AC_298,"['C(=O)CCCCC(=O)', 'Oc1cccc(c1)O']","[1, 1]",1
112,AC_31,"['C(=O)CCCCCCCCC(=O)', 'OC(CO1)C2C1C(CO2)O']","[1, 1]",1
136,AC_59,"['C(=O)CCCCCCCC(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
144,AC_68,"['C(=O)CCCCCCCC(=O)', 'Oc(cccc1)c1c2c(cccc2)O']","[1, 1]",1
149,AC_76,"['C(=O)CCCCCCCC(=O)', 'Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O']","[1, 1]",1
153,AC_8,"['C(=O)CC(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
155,AC_83,"['C(=O)CCCCCCC(=O)', 'Oc1cccc(c1)O']","[1, 1]",1
158,AC_87,"['C(=O)C(C)(C)C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
169,C_15,"['C(=O)', 'OCCCCCO']","[1, 1]",1
180,C_29,"['C(=O)', 'OCCSSCCO']","[1, 1]",0
191,C_41,"['C(=O)', 'OCCCCCCO']","[1, 1]",1
196,C_6,"['C(=O)', 'Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O']","[1, 1]",1
202,DW_10-11,"['C(=O)COCC(=O)', 'OCC(C)O']","[1, 1]",1
204,DW_10-3,"['C(=O)COCC(=O)', 'OCCCCO']","[1, 1]",1
209,DW_10-8,"['C(=O)COCC(=O)', 'OCCCCCCCCO']","[1, 1]",1
217,DW_12-7,"['C(=O)CSCC(=O)', 'OCCO']","[1, 1]",1
226,DW_13-6,"['C(=O)CCCCC(=O)', 'OCC=CCO']","[1, 1]",0
248,DW_16-10,"['C(=O)CSCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
252,DW_16-4,"['C(=O)CN(C)CC(=O)', 'Oc1cccc(c1)O']","[1, 1]",0
255,DW_16-7,"['C(=O)CSCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
263,DW_17-4,"['C(=O)COCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
264,DW_17-5,"['C(=O)COCC(=O)', 'OCC(C)(C)CO']","[1, 1]",1
267,DW_17-8,"['C(=O)COCC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",1
285,DW_19-7,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
292,DW_3-3,"['C(=O)CCCCCCCC(=O)', 'OCCCCO']","[1, 1]",0
295,DW_3-6,"['C(=O)CCCCCCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
303,DW_5-3,"['C(=O)CCC(=O)', 'OCCCCO']","[1, 1]",0
314,DW_6-3,"['C(=O)CCCC(=O)', 'OCCCCO']","[1, 1]",1
324,DW_7-2,"['C(=O)CCCCC(=O)', 'OCCCO']","[1, 1]",1
328,DW_7-6,"['C(=O)CCCCC(=O)', 'OCCC(C)CCO']","[1, 1]",0
330,DW_7-8,"['C(=O)CCCCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
335,DW_8-2,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCO']","[1, 1]",0
337,DW_8-4,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCO']","[1, 1]",1
343,DW_9-3,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
345,R_10,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(C)O']","[1, 1]",0
357,R_112,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCCCCCCCO']","[1, 1]",0
363,R_118,"['C(=O)CSCC(=O)', 'OCCCCCCCCCO']","[1, 1]",1
365,R_12,"['C(=O)c(ccc1)cc1C(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
368,R_124,"['C(=O)CCCCCCCCC(=O)', 'OCC(C)CO']","[1, 1]",1
374,R_13,"['C(=O)CCCC(=O)', 'OCC(C)CO']","[1, 1]",1
378,R_133,"['C(=O)CCCCCC(=O)', 'OCCCCCCO']","[1, 1]",1
405,R_164,"['C(=O)C(CC1)CCC1C(=O)', 'OCCOCCOCCO']","[1, 1]",1
410,R_173,"['C(=O)CCCCC(=O)', 'OCCOCCOCCO']","[1, 1]",0
432,R_205,"['C(=O)CSCC(=O)', 'OCCSCCO']","[1, 1]",1
438,R_210,"['C(=O)CCC(=O)', 'OCCSCCO']","[1, 1]",1
443,R_215,"['C(=O)CSCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
449,R_221,"['C(=O)CCCCCCCC(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
450,R_223,"['C(=O)C(CC1)CCC1C(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
454,R_227,"['C(=O)COCC(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
456,R_229,"['C(=O)CCCCC(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
459,R_231,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
460,R_232,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
466,R_238,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",1
468,R_24,"['C(=O)CSCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",1
474,R_245,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OCCCCCO']","[1, 1]",0
480,R_252,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OCCC(C)CCO']","[1, 1]",1
485,R_258,"['C(=O)c1oc(cc1)C(=O)', 'OCCCO']","[1, 1]",1
497,R_39,"['C(=O)CCCCCC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
501,R_42,"['C(=O)CCCCCCCCC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
503,R_44,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
507,R_51,"['C(=O)COCCOCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",1
510,R_54,"['C(=O)C(CC1)CCC1C(=O)', 'OC(C)C(C)O']","[1, 1]",0
512,R_57,"['C(=O)CCCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
513,R_58,"['C(=O)CCCCCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
514,R_59,"['C(=O)CCCCCCCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
521,R_65,"['C(=O)CN(C)CC(=O)', 'OCC(C)(C)CO']","[1, 1]",1
522,R_67,"['C(=O)CSCC(=O)', 'OCCCO']","[1, 1]",1
539,R_86,"['C(=O)CCCCCCCCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
548,R_96,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
551,R_99,"['C(=O)COCCOCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",1
554,ROP_102,"['C(=O)CCCC(CCCC)O', 'C(=O)CCCCC(CCCC)O']","[2, 1]",0
558,ROP_106,"['C(=O)CCCCCCCCCCCCCCCO', 'C(=O)CCCCC(CCCC)O']","[2, 1]",0
563,ROP_113,"['C(=O)CCCCCO', 'C(=O)C=CCC(CCCCC)O']","[2, 1]",0
573,ROP_15,"['C(=O)CCCCCO', 'C(=O)CCO']","[2, 1]",1
