,Name,SMILES_List,Ratio_List,Biodegradability
140,R_124,"['C(=O)CCCCCCCCC(=O)', 'OCC(C)CO']","[1, 1]",1
65,DW_17-5,"['C(=O)COCC(=O)', 'OCC(C)(C)CO']","[1, 1]",1
205,R_52,"['C(=O)COCCOCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",1
110,DW_7-2,"['C(=O)CCCCC(=O)', 'OCCCO']","[1, 1]",1
203,R_50,"['C(=O)COCCOCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
235,R_99,"['C(=O)COCCOCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",1
193,R_24,"['C(=O)CSCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",1
14,AC_32,"['C(=O)CCCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
181,R_194,"['C(=O)CSCC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
11,AC_266,"['C(=O)c(cc1)ccc1C(=O)', 'OCCC(C)CCO']","[1, 1]",1
37,DW_12-9,"['C(=O)CSCC(=O)', 'OCCCCCCO']","[1, 1]",1
199,R_33,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(CC)(CC)CO']","[1, 1]",1
32,DW_10-9,"['C(=O)COCC(=O)', 'OCCCCCCCCCO']","[1, 1]",1
91,DW_5-2,"['C(=O)CCC(=O)', 'OCCCO']","[1, 1]",1
20,AC_77,"['C(=O)CCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
190,R_216,"['C(=O)COCCOCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
154,R_149,"['C(=O)CCCCCCCCC(=O)', 'OCCOCCO']","[1, 1]",1
123,DW_8-4,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCO']","[1, 1]",1
17,AC_46,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
170,R_176,"['C(=O)CCCCCCCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
208,R_57,"['C(=O)CCCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
230,R_87,"['C(=O)CCCCCCCCC(=O)', 'OCCCO']","[1, 1]",0
206,R_54,"['C(=O)C(CC1)CCC1C(=O)', 'OC(C)C(C)O']","[1, 1]",0
10,AC_241,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",0
143,R_128,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCO']","[1, 1]",0
125,DW_8-6,"['C(=O)c(ccc1)cc1C(=O)', 'OCCC(C)CCO']","[1, 1]",0
115,DW_7-7,"['C(=O)CCCCC(=O)', 'OCCCCCCCO']","[1, 1]",0
8,AC_112,"['C(=O)c(cc1)ccc1C(=O)', 'OCCOCCOCCO']","[1, 1]",0
90,DW_5-11,"['C(=O)CCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
218,R_7,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
209,R_59,"['C(=O)CCCCCCCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
49,DW_15-11,"['C(=O)CCCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
53,DW_15-5,"['C(=O)CCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
7,AC_111,"['C(=O)c(cc1)ccc1C(=O)', 'OCCOCCO']","[1, 1]",0
92,DW_5-3,"['C(=O)CCC(=O)', 'OCCCCO']","[1, 1]",0
82,DW_3-1,"['C(=O)CCCCCCCC(=O)', 'OCCO']","[1, 1]",0
47,DW_14-8,"['C(=O)CCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
64,DW_17-4,"['C(=O)COCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
79,DW_19-5,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
225,R_79,"['C(=O)CCCCCCCCC(=O)', 'OCC(C)O']","[1, 1]",0
