,Polymer_Name_P,Mn,Mw,D,THF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,BIGSMILES,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3,DMF Soluble
15,DMI50_BND25_TPD25_P,,,,,,,28,,Y,Y,Distributed,20231018,Y BND->DND,?,,2:1.3:0.7,2.0,1.3,0.7,
9,CCD25_DMT25_GGE50_P,,,,,,,31,,Y,Y,Color Interference,20231209,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
13,DGA25_DMT25_ETG50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.9:0.1:2,1.9,0.1,2.0,
34,DMT50_DPD25_OTD25_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,,,2:0.8:1.2,2.0,0.8,1.2,
43,DMT50_PRD25_DPG25_P,,,,,,,26,,Y,Y,Distributed,20231209,Y DMI->DMT,Y,,2:1.7:0.3,2.0,1.7,0.3,
224,TOA50_DMD25_PPD25_P,,,,,,T1_G1,8,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,Y,Y,,2:1.0:1.0,2.0,1.0,1.0,
108,GLA25_AZA25_PPD50_P,,,,,,T1_J1,11,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,Y,Y,,1.0:1.0:2,1.0,1.0,2.0,
121,GLA50_DCD25_OTD25_P,,,,,,T3_B10,23,,Y,Y,Distributed,20231209,P,,,2:1.0:1.0,2.0,1.0,1.0,
222,TOA50_CHM25_CHD25_P,,,,,,T2_H7,20,"solid (elastic, clear)",Y,Y,Clear Zone,20231115,P,,,2:1.0:1.0,2.0,1.0,1.0,
154,SBA50_TPD25_TPG25_P,,,,,,T2_B10,14,"solid (waxy, opaque)",Y,Y,Distributed,20231115,Y,Y,,2:0.6:1.4,2.0,0.6,1.4,
140,SBA50_BED25_CHD25_P,,,,,,T2_J9,22,,Y,Y,Distributed,20231209,P,,,2:1.1:0.9,2.0,1.1,0.9,
146,SBA50_DCD25_GGE25_P,,,,,,T3_B8,23,,Y,Y,Distributed,20231209,P,,,2:1.1:0.9,2.0,1.1,0.9,
218,TOA50_BTD25_BND25_P,,,,,,T1_B9,3,viscous,Y,Y,Clear Zone,20230910,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
42,CCD50_DEG25_OTD25_P,,,,,,T2_F4,17,viscous,Y,Y,Distributed,20231115,P,Y,,2:0.8:1.2,2.0,0.8,1.2,
212,TOA25_SBA25_BED50_P,,,,,,T3_A4,22,,Y,Y,Distributed,20231209,P,,,1.0:1.0:2,1.0,1.0,2.0,
187,SUA25_EBA25_OTD50_P,,,,,,T3_C9,24,,Y,Y,Distributed,20231209,P,,,1.1:0.9:2,1.1,0.9,2.0,
180,SCA50_TPD25_HND25_P,,,,,,T2_B5,14,viscous,Y,Y,Distributed,20231115,Y,Y,,2:0.9:1.1,2.0,0.9,1.1,
131,GLA50_HND25_OTD25_P,,,,,,T2_F9,18,"solid (waxy, opaque)",Y,Y,Distributed,20231115,P,Y,,2:1.0:1.0,2.0,1.0,1.0,
117,GLA25_SBA25_MPD50_P,,,,,,T2_J3,21,,Y,Y,Distributed,20231115,,,,2:1.0:1.0,2.0,1.0,1.0,
70,DGA50_BTD25_DMD25_P,,,,,,T1_C3,3,"solid(elastic, slightly opaque)",Y,Y,Distributed,20230910,Y,,,2:0.8:1.2,2.0,0.8,1.2,
35,CCD25_AZA25_PRD50_P,,,,,,T1_E1,5,viscous,Y,Y,Clear Zone,20230910,Y,Y,,0.5:1.5:2,0.5,1.5,2.0,
9,ADA50_DEG25_CHM25_P,,,,,,T2_E9,17,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,P,Y,,2:0.8:1.2,2.0,0.8,1.2,
26,DMT50_BND25_BPA25_P,,,,,,,28,,Y,N,No Growth,20231115,Y,,,2:1.0:1.0,2.0,1.0,1.0,
23,DMI50_DPG25_HND25_P,,,,,,,28,,Y,N,,20231018,Y,?,,2:0.9:1.1,2.0,0.9,1.1,
21,DMI50_DMD25_MPD25_P,,,,,,,27,,Y,N,Hydrolysis,20231209,Y,,,2:0.8:1.2,2.0,0.8,1.2,
