,Polymer_Name_P,Mn,Mw,D,THF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,BIGSMILES,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3,DMF Soluble
49,EBA25_DMI25_HND50_P,,,,,,,30,,Y,Y,Clear Zone,20231115,Y,Y,,1.1:0.9:2,1.1,0.9,2.0,
52,GLA25_DMT25_CHD50_P,,,,,,,31,,Y,Y,Distributed,20240321,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
31,DMT50_DEG25_TEG25_P,,,,,,,30,,Y,Y,Distributed,20231209,Y,Y,,2:1.4:0.6,2.0,1.4,0.6,
54,SBA25_DMI25_PTD50_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,Y,,1.3:0.7:2,1.3,0.7,2.0,
34,DMT50_DPD25_OTD25_P,,,,,,,29,,Y,Y,Distributed,20231209,Y,,,2:0.8:1.2,2.0,0.8,1.2,
20,DMI50_DMD25_DPG25_P,,,,,,,27,,Y,Y,Distributed,20231209,Y,?,,2:0.7:1.3,2.0,0.7,1.3,
1,ADA25_DMI25_BTD50_P,,,,,,,26,,Y,Y,Clear Zone,20231018,,Y,,1.8:0.2:2,1.8,0.2,2.0,
64,TOA25_DMT25_DPG50_P,,,,,,,28,,Y,Y,Clear Zone,20231018,Y,Y,,1.3:0.7:2,1.3,0.7,2.0,
25,DMI50_PTD25_TPG25_P,,,,,,,29,,Y,Y,Distributed,20231115,Y,Y,,2:1.3:0.7,2.0,1.3,0.7,
18,DMI50_CHD25_DCD25_P,,,,,,,31,,Y,Y,Distributed,20231209,Y,,,2:0.8:1.2,2.0,0.8,1.2,
51,GLA25_DMI25_BND50_P,,,,,,,28,,Y,Y,Clear Zone,20231018,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
13,DGA25_DMT25_ETG50_P,,,,,,,27,,Y,Y,Clear Zone,20231018,Y,Y,,1.9:0.1:2,1.9,0.1,2.0,
12,DGA25_DMI25_GGE50_P,,,,,,,31,,Y,Y,Clear Zone,20240311,Y,Y,,1.8:0.2:2,1.8,0.2,2.0,
50,EBA25_DMT25_TPG50_P,,,,,,,30,,Y,Y,Clear Zone,20240321,Y,Y,,1.2:0.8:2,1.2,0.8,2.0,
