,Polymer_Name_P,Biodegradable,Ratio 1,Ratio 2,Ratio 3
1,ADA25_DMI25_BTD50_P,Y,0.9,1.1,2.0
3,ADA25_DMT25_DPD50_P,N,1.1,0.9,2.0
11,DGA25_DMI25_CHM50_P,Y,1.2,0.8,2.0
13,DGA25_DMT25_ETG50_P,N,1.7,0.3,2.0
14,DGA25_DMT25_PTD50_P,Y,1.1,0.9,2.0
15,DMI50_BND25_TPD25_P,Y,2.0,1.3,0.7
25,DMI50_PTD25_TPG25_P,Y,2.0,1.3,0.7
36,DMT50_ETG25_PTD25_P,N,2.0,0.5,1.5
39,DMT50_MRD25_GGE25_P,N,1.0,1.4,0.6
44,DMT50_PRD25_OTD25_P,N,2.0,0.6,1.4
54,SBA25_DMI25_PTD50_P,Y,1.3,0.7,2.0
56,SBA25_DMT25_CHM50_P,Y,1.5,0.5,2.0
57,SCA25_DMI25_BED50_P,N,1.4,0.6,2.0
3,SUA50_MRD25_PTD25_P,Y,2.0,1.1,0.9
5,SUA50_MRD25_DPD25_P,Y,2.0,1.2,0.8
27,AZA50_PRD25_TPG25_P,Y,2.0,1.0,1.0
35,GLA50_PRD25_GGE25_P,Y,2.0,0.9,1.1
43,DGA50_ETG25_BED25_P,Y,2.0,0.6,1.4
44,TOA50_ETG25_MPD25_P,Y,2.0,0.9,1.1
47,SUA50_ETG25_CHD25_P,Y,2.0,0.9,1.1
52,SCA25_TOA25_ETG50_P,Y,1.0,1.0,2.0
53,AZA50_DMD25_DPG25_P,Y,2.0,1.0,1.0
62,SUA50_DMD25_DPG25_P,Y,2.0,1.0,1.0
70,TOA25_EBA25_DMD50_P,Y,1.1,0.9,2.0
89,DGA25_TOA25_PPD50_P,Y,1.0,1.0,2.0
105,TOA25_CCD25_BND50_P,Y,1.1,0.9,2.0
111,GLA50_DPG25_DEG25_P,Y,2.0,1.0,1.0
124,GLA50_TPD25_HND25_P,Y,2.0,0.9,1.1
125,DGA50_TPD25_BED25_P,Y,2.0,1.0,1.0
126,CCD25_SBA25_TPD50_P,Y,0.7,1.3,2.0
134,SUA50_DPD25_CHM25_P,Y,2.0,1.1,0.9
138,DGA25_AZA25_DPD50_P,Y,1.1,0.9,2.0
143,DGA50_DEG25_BED25_P,Y,2.0,1.0,1.0
147,GLA25_DGA25_PTD50_P,Y,1.0,1.0,2.0
151,SUA50_DEG25_DCD25_P,Y,2.0,0.9,1.1
152,ADA50_DEG25_GGE25_P,Y,2.0,1.0,1.0
155,GLA25_DGA25_DEG50_P,Y,1.0,1.0,2.0
164,SUA50_TPG25_OTD25_P,Y,2.0,0.7,1.3
174,EBA50_CHM25_BED25_P,Y,2.0,1.0,1.0
180,SCA25_DGA25_CHM50_P,Y,1.0,1.0,2.0
187,TOA50_MPD25_BPA25_P,Y,2.0,1.3,0.7
188,SCA50_MPD25_CHD25_P,Y,2.0,1.1,0.9
202,CCD50_BED25_OTD25_P,Y,2.0,1.0,1.0
207,ADA50_CHD25_OTD25_P,Y,2.0,0.9,1.1
210,EBA50_MPD25_BED25_P,Y,2.0,1.0,1.0
226,TOA25_AZA25_OTD50_P,Y,1.0,1.0,2.0
227,SCA25_DGA25_OTD50_P,Y,1.0,1.0,2.0
230,DGA25_CCD25_GGE50_P,Y,1.0,1.0,2.0
