,Polymer_Name_P,Biodegradable,Ratio 1,Ratio 2,Ratio 3
12,DGA25_DMI25_GGE50_P,Y,1.8,0.2,2.0
14,DGA25_DMT25_PTD50_P,Y,1.1,0.9,2.0
16,DMI50_BTD25_DCD25_P,Y,2.0,0.8,1.2
19,DMI50_DCD25_BPA25_P,N,2.0,0.8,1.2
24,DMI50_MRD25_DPD25_P,Y,2.0,1.0,1.0
33,DMT50_DPD25_HND25_P,N,2.0,0.9,1.1
37,DMT50_ETG25_TPG25_P,N,2.0,1.1,0.9
50,EBA25_DMT25_TPG50_P,Y,1.2,0.8,2.0
51,GLA25_DMI25_BND50_P,Y,1.2,0.8,2.0
59,SCA25_DMI25_ETG50_P,Y,1.8,0.2,2.0
0,SUA50_MRD25_BPA25_P,Y,2.0,1.6,0.4
28,EBA50_PRD25_TPD25_P,Y,2.0,0.5,1.5
31,SCA50_PRD25_BPA25_P,Y,2.0,1.7,0.3
34,DGA50_PRD25_DPG25_P,N,2.0,1.0,1.0
82,TOA50_PPD25_CHD25_P,Y,2.0,1.0,1.0
108,GLA50_DPG25_TPG25_P,Y,2.0,1.0,1.0
116,TOA50_TPD25_OTD25_P,Y,2.0,0.9,1.1
121,TOA50_DPD25_HND25_P,Y,2.0,1.0,1.0
128,AZA50_DPD25_TPG25_P,Y,2.0,1.0,1.0
146,GLA25_ADA25_PTD50_P,Y,2.0,1.0,1.0
156,EBA50_HND25_MPD25_P,Y,2.0,1.0,1.0
163,EBA50_TPG25_MPD25_P,Y,2.0,0.9,1.1
165,SCA25_TOA25_TPG50_P,Y,0.7,1.3,2.0
168,AZA50_TPG25_DCD25_P,Y,2.0,0.8,1.2
170,SCA25_SBA25_TPG50_P,Y,1.0,1.0,2.0
182,SUA25_EBA25_CHM50_P,Y,1.1,0.9,2.0
183,TOA25_AZA25_TEG50_P,Y,1.0,1.0,2.0
185,CCD25_SBA25_TEG50_P,Y,0.7,1.3,2.0
