,Polymer_Name_P,Biodegradable,Ratio 1,Ratio 2,Ratio 3
1,ADA25_DMI25_BTD50_P,Y,0.9,1.1,2.0
3,ADA25_DMT25_DPD50_P,N,1.1,0.9,2.0
4,ADA25_DMT25_HND50_P,Y,1.2,0.8,2.0
14,DGA25_DMT25_PTD50_P,Y,1.1,0.9,2.0
20,DMI50_DMD25_DPG25_P,Y,2.0,0.7,1.3
33,DMT50_DPD25_HND25_P,N,2.0,0.9,1.1
34,DMT50_DPD25_OTD25_P,Y,2.0,0.8,1.2
35,DMT50_ETG25_BED25_P,Y,2.0,0.7,1.3
43,DMT50_PRD25_DPG25_P,Y,2.0,0.8,1.2
46,DMT50_TPD25_NND25_P,N,2.0,0.6,1.4
48,DMT50_TPG25_BPA25_P,N,2.0,1.2,0.8
50,EBA25_DMT25_TPG50_P,Y,1.2,0.8,2.0
56,SBA25_DMT25_CHM50_P,Y,1.5,0.5,2.0
63,TOA25_DMI25_HND50_P,Y,1.0,1.0,2.0
7,DGA25_SUA25_MRD50_P,Y,1.0,1.0,2.0
14,CCD50_BTD25_TPG25_P,Y,2.0,1.0,1.0
23,GLA50_BTD25_DMD25_P,Y,2.0,0.7,1.3
30,ADA50_PRD25_CHD25_P,Y,2.0,0.9,1.1
46,GLA50_ETG25_TPG25_P,Y,2.0,0.9,1.1
49,CCD50_ETG25_TPG25_P,Y,2.0,0.8,1.2
61,SCA50_DMD25_GGE25_P,Y,2.0,1.0,1.0
99,DGA50_BND25_PTD25_P,Y,2.0,1.0,1.0
104,GLA50_DPG25_GGE25_P,Y,2.0,1.2,0.8
114,DGA25_ADA25_DPG50_P,Y,1.1,0.9,2.0
117,GLA50_TPD25_TEG25_P,Y,2.0,0.9,1.1
142,GLA50_PTD25_OTD25_P,Y,2.0,0.9,1.1
195,TOA50_NND25_CHD25_P,Y,2.0,1.1,0.9
197,SUA25_AZA25_NND50_P,Y,1.5,0.5,2.0
220,GLA25_EBA25_DCD50_P,Y,1.1,0.9,2.0
224,SCA25_CCD25_DCD50_P,Y,1.0,1.0,2.0
233,EBA25_SBA25_BPA50_P,Y,0.9,1.1,2.0
