Dataset,Number of Estimators,Max Depth,Min Samples Split,Min Samples Leaf,Max Leaf Nodes,Mean Cross Val Score,STD,"Eval [Library, Ter, Combined]"
Reduced,1,1,2,1,2,0.7510356644615305,0.04110219801535924,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Reduced,1,1,2,1,2,0.6182465725001378,0.012675850413239655,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,1,2,1,4,0.7510356644615305,0.04110219801535924,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Reduced,1,1,2,1,4,0.6182465725001378,0.012675850413239655,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,1,2,1,8,0.7510356644615305,0.04110219801535924,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Reduced,1,1,2,1,8,0.6182465725001378,0.012675850413239655,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,1,2,1,16,0.7510356644615305,0.04110219801535924,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Reduced,1,1,2,1,16,0.6182465725001378,0.012675850413239655,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,1,2,1,32,0.7510356644615305,0.04110219801535924,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Reduced,1,1,2,1,32,0.6182465725001378,0.012675850413239655,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,1,2,1,64,0.7510356644615305,0.04110219801535924,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Reduced,1,1,2,1,64,0.6182465725001378,0.012675850413239655,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,1,2,1,128,0.7510356644615305,0.04110219801535924,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Reduced,1,1,2,1,128,0.6182465725001378,0.012675850413239655,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,1,2,1,256,0.7510356644615305,0.04110219801535924,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Reduced,1,1,2,1,256,0.6182465725001378,0.012675850413239655,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,1,2,1,512,0.7510356644615305,0.04110219801535924,"[0.6666666666666666, 0.9382716049382716, 0.85]"
