Dataset,Number of Estimators,Max Depth,Min Samples Split,Min Samples Leaf,Max Leaf Nodes,Mean Cross Val Score,STD,"Eval [Library, Ter, Combined]"
Reduced,1,1,2,1,2,0.751035664,0.041102198,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,1,1,2,1,2,0.618246573,0.01267585,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,1,2,1,4,0.751035664,0.041102198,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,1,1,2,1,4,0.618246573,0.01267585,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,1,2,1,8,0.751035664,0.041102198,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,1,1,2,1,8,0.618246573,0.01267585,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,1,2,1,16,0.751035664,0.041102198,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,1,1,2,1,16,0.618246573,0.01267585,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,1,2,1,32,0.751035664,0.041102198,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,1,1,2,1,32,0.618246573,0.01267585,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,1,2,1,64,0.751035664,0.041102198,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,1,1,2,1,64,0.618246573,0.01267585,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,1,2,1,128,0.751035664,0.041102198,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,1,1,2,1,128,0.618246573,0.01267585,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,1,2,1,256,0.751035664,0.041102198,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,1,1,2,1,256,0.618246573,0.01267585,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,1,2,1,512,0.751035664,0.041102198,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,1,1,2,1,512,0.618246573,0.01267585,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,2,2,1,2,0.751035664,0.041102198,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,1,2,2,1,2,0.618246573,0.01267585,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,2,2,1,4,0.758190433,0.035656204,"[0.7692307692307693, 0.8765432098765432, 0.8416666666666667]"
Original,1,2,2,1,4,0.642616194,0.01285413,"[0.5909090909090909, 0.7777777777777778, 0.6701570680628273]"
Reduced,1,2,2,1,8,0.758190433,0.035656204,"[0.7692307692307693, 0.8765432098765432, 0.8416666666666667]"
Original,1,2,2,1,8,0.642616194,0.01285413,"[0.5909090909090909, 0.7777777777777778, 0.6701570680628273]"
Reduced,1,2,2,1,16,0.758190433,0.035656204,"[0.7692307692307693, 0.8765432098765432, 0.8416666666666667]"
Original,1,2,2,1,16,0.642616194,0.01285413,"[0.5909090909090909, 0.7777777777777778, 0.6701570680628273]"
Reduced,1,2,2,1,32,0.758190433,0.035656204,"[0.7692307692307693, 0.8765432098765432, 0.8416666666666667]"
Original,1,2,2,1,32,0.642616194,0.01285413,"[0.5909090909090909, 0.7777777777777778, 0.6701570680628273]"
Reduced,1,2,2,1,64,0.758190433,0.035656204,"[0.7692307692307693, 0.8765432098765432, 0.8416666666666667]"
Original,1,2,2,1,64,0.642616194,0.01285413,"[0.5909090909090909, 0.7777777777777778, 0.6701570680628273]"
Reduced,1,2,2,1,128,0.758190433,0.035656204,"[0.7692307692307693, 0.8765432098765432, 0.8416666666666667]"
Original,1,2,2,1,128,0.642616194,0.01285413,"[0.5909090909090909, 0.7777777777777778, 0.6701570680628273]"
Reduced,1,2,2,1,256,0.758190433,0.035656204,"[0.7692307692307693, 0.8765432098765432, 0.8416666666666667]"
Original,1,2,2,1,256,0.642616194,0.01285413,"[0.5909090909090909, 0.7777777777777778, 0.6701570680628273]"
Reduced,1,2,2,1,512,0.758190433,0.035656204,"[0.7692307692307693, 0.8765432098765432, 0.8416666666666667]"
Original,1,2,2,1,512,0.642616194,0.01285413,"[0.5909090909090909, 0.7777777777777778, 0.6701570680628273]"
Reduced,1,4,2,1,2,0.751035664,0.041102198,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,1,4,2,1,2,0.618246573,0.01267585,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,4,2,1,4,0.755942088,0.043340952,"[0.7948717948717948, 0.8641975308641975, 0.8416666666666667]"
Original,1,4,2,1,4,0.633620323,0.026373074,"[0.6181818181818182, 0.7777777777777778, 0.6858638743455497]"
Reduced,1,4,2,1,8,0.765523121,0.040299155,"[0.8205128205128205, 0.9135802469135802, 0.8833333333333333]"
Original,1,4,2,1,8,0.679071999,0.030909769,"[0.5818181818181818, 0.9382716049382716, 0.7329842931937173]"
Reduced,1,4,2,1,16,0.767795848,0.040320917,"[0.8717948717948718, 0.9382716049382716, 0.9166666666666666]"
Original,1,4,2,1,16,0.670542534,0.033343804,"[0.5727272727272728, 0.9259259259259259, 0.7225130890052356]"
Reduced,1,4,2,1,32,0.767795848,0.040320917,"[0.8717948717948718, 0.9382716049382716, 0.9166666666666666]"
Original,1,4,2,1,32,0.670542534,0.033343804,"[0.5727272727272728, 0.9259259259259259, 0.7225130890052356]"
Reduced,1,4,2,1,64,0.767795848,0.040320917,"[0.8717948717948718, 0.9382716049382716, 0.9166666666666666]"
Original,1,4,2,1,64,0.670542534,0.033343804,"[0.5727272727272728, 0.9259259259259259, 0.7225130890052356]"
Reduced,1,4,2,1,128,0.767795848,0.040320917,"[0.8717948717948718, 0.9382716049382716, 0.9166666666666666]"
Original,1,4,2,1,128,0.670542534,0.033343804,"[0.5727272727272728, 0.9259259259259259, 0.7225130890052356]"
Reduced,1,4,2,1,256,0.767795848,0.040320917,"[0.8717948717948718, 0.9382716049382716, 0.9166666666666666]"
