Landscape Category,Landscape Number,"RF Parameters [max trees, max depth, max leaf nodes]",Binary Polymers Score,Terpolymer Test Score,Combined Test Score,Original Std,Ter std,Combined Std
Original Only,0,"[16, 16, 128]",0.7057964970809008,0.9298587433447499,0.7846816710993297,0.03676018026106343,0.02014043245973644,0.03132105082288969
Original Only,1,"[16, 16, 128]",0.7180289129830415,0.9221572563412508,0.7894490522634969,0.04686038173465018,0.020049459586960694,0.03450352318268098
Original Only,2,"[16, 16, 128]",0.7225882680011121,0.9253449670763091,0.7942319782249437,0.030450161595258294,0.02387737496547887,0.027028256285609255
Original Only,3,"[16, 16, 128]",0.7286766750069503,0.9375083479020199,0.8014089028070913,0.03857362116030747,0.019708602409825644,0.030580430924799888
Original Only,4,"[16, 16, 128]",0.7255629691409508,0.923850480146282,0.7945938550532351,0.0412335092059808,0.024001204136377807,0.03658148679443029
Original and Ter,0,"[16, 16, 128]",0.7226438698915763,0.9279465930925692,0.7952302348522536,0.04095868312829266,0.0106870417076967,0.026207754406987402
Original and Ter,1,"[16, 16, 128]",0.7088546010564358,0.9204306835029269,0.7830401554403305,0.02181853977721224,0.02335264352969657,0.02039751905804601
Original and Ter,2,"[16, 16, 128]",0.7240895190436475,0.9357160245902237,0.7981716009142761,0.047689174943215555,0.021680785989039088,0.03906194744914597
Original and Ter,3,"[16, 16, 128]",0.7196413678065054,0.9319250877162252,0.7945115853225516,0.045411542045391405,0.016184287051295418,0.02807012819090183
Original and Ter,4,"[16, 16, 128]",0.7166110647762025,0.9306951363860995,0.7925621081947072,0.06601049346346137,0.016669064502168724,0.043828782303764295
