Dataset,Number of Estimators,Max Depth,Min Samples Split,Min Samples Leaf,Max Leaf Nodes,Mean Cross Val Score,STD,"Eval [Library, Ter, Combined]"
Reduced,1,1,2,1,2,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,1,2,1,2,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,1,2,1,4,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,1,2,1,4,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,1,2,1,8,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,1,2,1,8,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,1,2,1,16,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,1,2,1,16,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,1,2,1,32,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,1,2,1,32,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,1,2,1,64,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,1,2,1,64,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,1,2,1,128,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,1,2,1,128,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,1,2,1,256,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,1,2,1,256,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,1,2,1,512,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,1,2,1,512,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,2,2,1,2,0.7318939098605386,0.028436829025924117,"[0.6666666666666666, 0.8765432098765432, 0.8083333333333333]"
Original,1,2,2,1,2,0.6274874076867489,0.03446311933955879,"[0.5545454545454546, 0.7901234567901234, 0.6544502617801047]"
Reduced,1,2,2,1,4,0.73386657117656,0.03982477535991206,"[0.6666666666666666, 0.8888888888888888, 0.8166666666666667]"
Original,1,2,2,1,4,0.6428168223671478,0.011507333603196583,"[0.5454545454545454, 0.8024691358024691, 0.6544502617801047]"
Reduced,1,2,2,1,8,0.73386657117656,0.03982477535991206,"[0.6666666666666666, 0.8888888888888888, 0.8166666666666667]"
Original,1,2,2,1,8,0.6428168223671478,0.011507333603196583,"[0.5454545454545454, 0.8024691358024691, 0.6544502617801047]"
Reduced,1,2,2,1,16,0.73386657117656,0.03982477535991206,"[0.6666666666666666, 0.8888888888888888, 0.8166666666666667]"
Original,1,2,2,1,16,0.6428168223671478,0.011507333603196583,"[0.5454545454545454, 0.8024691358024691, 0.6544502617801047]"
Reduced,1,2,2,1,32,0.73386657117656,0.03982477535991206,"[0.6666666666666666, 0.8888888888888888, 0.8166666666666667]"
Original,1,2,2,1,32,0.6428168223671478,0.011507333603196583,"[0.5454545454545454, 0.8024691358024691, 0.6544502617801047]"
Reduced,1,2,2,1,64,0.73386657117656,0.03982477535991206,"[0.6666666666666666, 0.8888888888888888, 0.8166666666666667]"
Original,1,2,2,1,64,0.6428168223671478,0.011507333603196583,"[0.5454545454545454, 0.8024691358024691, 0.6544502617801047]"
Reduced,1,2,2,1,128,0.73386657117656,0.03982477535991206,"[0.6666666666666666, 0.8888888888888888, 0.8166666666666667]"
Original,1,2,2,1,128,0.6428168223671478,0.011507333603196583,"[0.5454545454545454, 0.8024691358024691, 0.6544502617801047]"
