reaction,rate,std
AC_1,0,0
AC_100,0,0
AC_101,0,0
AC_102,0,0
AC_103,0,0
AC_105,0,0
AC_106,0,0
AC_107,0.534225302,0.075419786
AC_109,0,0
AC_110,0,0
AC_111,0,0
AC_112,0,0
AC_113,0,0
AC_114,0,0
AC_116,0.744600735,0.07671014
AC_117,0.224836176,0.056069419
AC_118,0,0
AC_119,0.431896184,0.067935964
AC_120,0.770330784,0.163903295
AC_121,0.2143769,0.039478529
AC_128,-0.816352147,0.161752394
AC_13,-4.743949772,0.490651297
AC_131,0,0
AC_132,0,0
AC_133,0.233216902,0.049569051
AC_137,0,0
AC_142,0.295888551,0.127059682
AC_151,-3.592947709,0.720236815
AC_156,-0.600308559,0.076913333
AC_157,-0.986804141,0.126213007
AC_159,-1.230714175,0.441827085
AC_16,-4.730248471,0.796440713
AC_160,0.148106147,0.065525031
AC_161,0,0
AC_169,22.04013558,2.622376733
AC_17,-1.43994557,0.301679978
AC_171,-2.588325194,0.238102283
AC_172,0.327310796,0.093692255
AC_174,16.25275992,1.239572559
AC_175,-1.451466804,0.131644387
AC_176,-1.462212647,0.16051156
AC_177,28.77339905,1.662696236
AC_180,0.2154283,0.095732062
AC_187,-0.399955131,0.067399707
AC_19,0,0
AC_193,0,0
AC_194,6.427004767,0.173772693
AC_196,1.569488193,0.109503249
AC_197,0.120713248,0.055494585
AC_199,0.135028838,0.078010492
AC_2,0,0
AC_20,-0.440687044,0.132176697
AC_21,-0.201727954,0.026610476
AC_211,-3.28622158,0.292818927
AC_22,0,0
AC_223,0.14370182,0.05515213
AC_225,0.102778679,0.044839863
AC_226,0,0
AC_227,0,0
AC_229,0,0
AC_23,1.124764053,0.286370922
AC_232,5.772598492,0.649259909
AC_233,0,0
AC_234,0.125096566,0.032516495
AC_235,1.390582453,0.129770734
AC_236,1.062315972,0.094647353
AC_237,3.442308397,0.242466899
AC_238,-0.514582829,0.054312717
AC_239,-0.552938239,0.071130725
AC_24,-1.017585187,0.124793154
AC_240,2.288529924,1.116203077
AC_241,0,0
AC_244,0,0
AC_245,0,0
AC_247,0,0
AC_248,0,0
AC_249,0,0
