reaction,monomer1,monomer2,monomer1flip,monomer2flip,ratio1,ratio2,Cbackbone1,Csidegroup1,Cbackbone2,Csidegroup2
AC_1,C(=O)CC(=O),Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,C(=O)CC(=O),Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,1,1,3,0,0,0
AC_100,C(=O)c(cc1)ccc1C(=O),OC(C)CCC(C)O,C(=O)c(cc1)ccc1C(=O),OC(C)CCC(C)O,1,1,0,0,4,2
AC_101,C(=O)c(cc1)ccc1C(=O),OCCCCCCCCO,C(=O)c(cc1)ccc1C(=O),OCCCCCCCCO,1,1,0,0,8,0
AC_102,C(=O)c(cc1)ccc1C(=O),OCCCCCCCCCO,C(=O)c(cc1)ccc1C(=O),OCCCCCCCCCO,1,1,0,0,9,0
AC_103,C(=O)c(cc1)ccc1C(=O),OCCCCCCCCCCO,C(=O)c(cc1)ccc1C(=O),OCCCCCCCCCCO,1,1,0,0,10,0
AC_105,C(=O)c(cc1)ccc1C(=O),OCC(C)(C)C(C(C)C)O,C(=O)c(cc1)ccc1C(=O),OC(C(C)C)C(C)(C)CO,1,1,0,0,3,5
AC_106,C(=O)c(cc1)ccc1C(=O),OCC(C)(C)CO,C(=O)c(cc1)ccc1C(=O),OCC(C)(C)CO,1,1,0,0,3,2
AC_107,C(=O)c(cc1)ccc1C(=O),OCC(CC(C1)C2C3)C1C2CC3CO,C(=O)c(cc1)ccc1C(=O),OCC(CC(C1)C2C3)C1C2CC3CO,1,1,0,0,0,0
AC_109,C(=O)c(cc1)ccc1C(=O),OC(C)C(C)O,C(=O)c(cc1)ccc1C(=O),OC(C)C(C)O,1,1,0,0,2,2
AC_110,C(=O)c(cc1)ccc1C(=O),OC(CC1)CCC1O,C(=O)c(cc1)ccc1C(=O),OC(CC1)CCC1O,1,1,0,0,0,0
AC_111,C(=O)c(cc1)ccc1C(=O),OCCOCCO,C(=O)c(cc1)ccc1C(=O),OCCOCCO,1,1,0,0,5,0
AC_112,C(=O)c(cc1)ccc1C(=O),OCCOCCOCCO,C(=O)c(cc1)ccc1C(=O),OCCOCCOCCO,1,1,0,0,8,0
AC_113,C(=O)c(cc1)ccc1C(=O),Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O,C(=O)c(cc1)ccc1C(=O),Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O,1,1,0,0,0,0
AC_114,C(=O)c(cc1)ccc1C(=O),OCCSSCCO,C(=O)c(cc1)ccc1C(=O),OCCSSCCO,1,1,0,0,6,0
AC_116,C(=O)c(cc1)ccc1C(=O),Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,C(=O)c(cc1)ccc1C(=O),Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,1,1,0,0,0,0
AC_117,C(=O)c(cc1)ccc1C(=O),Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,C(=O)c(cc1)ccc1C(=O),Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,1,1,0,0,0,0
