Name,SMILES_List,Ratio_List,Biodegradability
AC_1,"['C(=O)CC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",0
AC_100,"['C(=O)c(cc1)ccc1C(=O)', 'OC(C)CCC(C)O']","[1, 1]",0
AC_101,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCCCCO']","[1, 1]",0
AC_102,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCCCCCO']","[1, 1]",0
AC_103,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
AC_105,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
AC_106,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(C)(C)CO']","[1, 1]",0
AC_107,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",1
AC_109,"['C(=O)c(cc1)ccc1C(=O)', 'OC(C)C(C)O']","[1, 1]",0
AC_110,"['C(=O)c(cc1)ccc1C(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
AC_111,"['C(=O)c(cc1)ccc1C(=O)', 'OCCOCCO']","[1, 1]",0
AC_112,"['C(=O)c(cc1)ccc1C(=O)', 'OCCOCCOCCO']","[1, 1]",0
AC_113,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O']","[1, 1]",0
AC_114,"['C(=O)c(cc1)ccc1C(=O)', 'OCCSSCCO']","[1, 1]",0
AC_116,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O']","[1, 1]",1
AC_117,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",1
AC_118,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O']","[1, 1]",0
AC_119,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)C3(c2ccc(O)cc2)c4ccccc4-c5ccccc35']","[1, 1]",1
AC_120,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)C2(CCCCC2)c3cc(cc3)O']","[1, 1]",1
AC_121,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O']","[1, 1]",1
AC_128,"['C(=O)c(cccc1)c1C(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",1
AC_13,"['C(=O)CC(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
AC_131,"['C(=O)CC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O']","[1, 1]",0
AC_132,"['C(=O)c(cccc1)c1C(=O)', 'OC(CO1)C2C1C(CO2)O']","[1, 1]",0
AC_133,"['C(=O)c(cccc1)c1C(=O)', 'OCC=CCO']","[1, 1]",1
AC_137,"['C(=O)CC(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",0
AC_142,"['C(=O)C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O']","[1, 1]",1
AC_151,"['C(=O)CC(=O)', 'Oc1ccc(cc1)C2(CCCCC2)c3cc(cc3)O']","[1, 1]",1
AC_156,"['C(=O)c(cccc1)c1C(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
AC_157,"['C(=O)c(cccc1)c1C(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
AC_159,"['C(=O)c(cccc1)c1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
AC_16,"['C(=O)CCCCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
AC_160,"['C(=O)CC(=O)', 'Oc1ccc(cc1)C3(c2ccc(O)cc2)c4ccccc4-c5ccccc35']","[1, 1]",1
AC_161,"['C(=O)CC(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
AC_169,"['C(=O)CC(=O)', 'OCCSCCO']","[1, 1]",1
AC_17,"['C(=O)CCCCCCCCC(=O)', 'Oc1ccc(cc1)Cc2ccc(cc2)O']","[1, 1]",1
AC_171,"['C(=O)C(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",1
AC_172,"['C(=O)CC(=O)', 'Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O']","[1, 1]",1
AC_174,"['C(=O)CC(=O)', 'OCC=CCO']","[1, 1]",1
AC_175,"['C(=O)CC(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
AC_176,"['C(=O)CC(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
AC_177,"['C(=O)CC(=O)', 'OCCSSCCO']","[1, 1]",1
AC_180,"['C(=O)C(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",1
AC_187,"['C(=O)C(=O)', 'OC(CS1)SCC1O']","[1, 1]",1
AC_19,"['C(=O)CCCCCCCCC(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
AC_193,"['C(=O)C(=O)', 'OC(C)CCC(C)O']","[1, 1]",0
AC_194,"['C(=O)C(=O)', 'OCCCCCCCCO']","[1, 1]",1
AC_196,"['C(=O)C(=O)', 'OCCCCCCCCCCO']","[1, 1]",1
AC_197,"['C(=O)C(=O)', 'OCC(CC)(CC)CO']","[1, 1]",1
AC_199,"['C(=O)C(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",1
AC_2,"['C(=O)CC(=O)', 'Oc1ccc(cc1)Cc2ccc(cc2)O']","[1, 1]",0
AC_20,"['C(=O)CCCCCCCCC(=O)', 'OCCSCCO']","[1, 1]",1
AC_21,"['C(=O)CCCCCCCCC(=O)', 'OC(CS1)SCC1O']","[1, 1]",1
AC_211,"['C(=O)C(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
AC_22,"['C(=O)CCCCCCCCC(=O)', 'OCC=CCO']","[1, 1]",0
AC_223,"['C(=O)CCC(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",1
AC_225,"['C(=O)CCC(=O)', 'Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O']","[1, 1]",1
AC_226,"['C(=O)CCC(=O)', 'Oc1ccc(cc1)C2(CCCCC2)c3cc(cc3)O']","[1, 1]",0
AC_227,"['C(=O)CCC(=O)', 'Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O']","[1, 1]",0
AC_229,"['C(=O)CCC(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
AC_23,"['C(=O)CCCCCCCCC(=O)', 'Oc1cccc(c1)O']","[1, 1]",1
AC_232,"['C(=O)CCC(=O)', 'Oc(cccc1)c1c2c(cccc2)O']","[1, 1]",1
AC_233,"['C(=O)CCC(=O)', 'Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O']","[1, 1]",0
AC_234,"['C(=O)CCC(=O)', 'Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O']","[1, 1]",1
AC_235,"['C(=O)CCC(=O)', 'OCC#CCO']","[1, 1]",1
AC_236,"['C(=O)CCC(=O)', 'OC(CO1)C2C1C(CO2)O']","[1, 1]",1
AC_237,"['C(=O)CCC(=O)', 'OCC=CCO']","[1, 1]",1
AC_238,"['C(=O)CCC(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
AC_239,"['C(=O)CCC(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
AC_24,"['C(=O)CCCCCCCCC(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
AC_240,"['C(=O)CCC(=O)', 'OCCSSCCO']","[1, 1]",1
AC_241,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",0
AC_244,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O']","[1, 1]",0
