Number of Estimators,Max Depth,Min Samples Split,Min Samples Leaf,Max Leaf Nodes,Mean Cross Val Score,STD,Test Evaluation Score
2,8,2,1,8,0.6941284403669725,0.012653900660232422,0.6727272727272727
2,128,2,1,128,0.6153794829024186,0.04751489927074373,0.7454545454545455
8,2,2,1,2,0.6631693077564638,0.04536039709872864,0.6636363636363637
4,128,2,1,2,0.6117597998331943,0.025690239610580073,0.6636363636363637
4,2,2,1,2,0.6374311926605505,0.023856033707368815,0.6090909090909091
2,32,2,1,32,0.6519599666388658,0.02782406600432766,0.6545454545454545
2,8,2,1,16,0.6923769808173479,0.03438971486384364,0.6363636363636364
4,8,2,1,512,0.6758298582151794,0.01875376512551718,0.6545454545454545
8,16,2,1,4,0.6886572143452877,0.023007092109513502,0.7454545454545455
2,128,2,1,256,0.6355796497080901,0.028549783532518393,0.6909090909090909
4,2,2,1,4,0.672276897414512,0.04518628632404037,0.6181818181818182
2,32,2,1,64,0.6245537948290242,0.029401627757042522,0.6545454545454545
4,128,2,1,4,0.6684737281067556,0.039277334421120975,0.6909090909090909
4,16,2,1,2,0.6372143452877398,0.04266021700912501,0.6
8,2,2,1,4,0.6923102585487907,0.03506199663250531,0.6727272727272727
2,128,2,1,512,0.6501584653878232,0.04413173710700645,0.6727272727272727
4,2,2,1,8,0.6758465387823185,0.035818409851754086,0.6272727272727273
2,32,2,1,128,0.6448206839032526,0.04142458907960556,0.7454545454545455
8,128,2,1,8,0.6868223519599665,0.029119416597324577,0.7181818181818181
4,128,2,1,8,0.6759132610508758,0.027564676312431306,0.7
2,256,2,1,2,0.6007506255212677,0.011740560036542315,0.6272727272727273
4,16,2,1,4,0.6721934945788156,0.03562078774714228,0.6454545454545455
2,32,2,1,256,0.6446205170975812,0.03365839210168518,0.7
4,2,2,1,16,0.6666388657214345,0.020989695239034028,0.6272727272727273
2,256,2,1,4,0.6025521267723104,0.03221084460764277,0.6363636363636364
8,16,2,1,8,0.683185988323603,0.04177606663097231,0.7090909090909091
8,2,2,1,8,0.7051376146788991,0.03986172548307893,0.6727272727272727
4,128,2,1,16,0.6740116763969974,0.030798561189560862,0.6636363636363637
2,256,2,1,8,0.6556463719766472,0.03537359584755786,0.6090909090909091
4,16,2,1,8,0.7033361134278565,0.037965791636478376,0.7545454545454545
2,32,2,1,512,0.6630191826522103,0.03625104421444032,0.7272727272727273
4,2,2,1,32,0.6537614678899084,0.02586830612635169,0.6181818181818182
2,256,2,1,16,0.6686572143452878,0.05136689582342418,0.6818181818181818
2,64,2,1,2,0.6208507089241034,0.037226451870019585,0.5181818181818182
8,128,2,1,16,0.7088073394495412,0.03128749749290823,0.7272727272727273
4,2,2,1,64,0.6648206839032527,0.01725083576098062,0.6454545454545455
2,64,2,1,4,0.6354795663052544,0.03500072714632503,0.5909090909090909
4,16,2,1,16,0.6758798999165971,0.03865159166755247,0.7181818181818181
8,2,2,1,16,0.6795162635529609,0.030357147403406944,0.6545454545454545
4,128,2,1,32,0.6942118432026689,0.032336629262461475,0.7636363636363637
2,256,2,1,32,0.6665888240200166,0.04016372990088441,0.7272727272727273
8,16,2,1,16,0.7253211009174312,0.020213488959883175,0.7363636363636363
2,64,2,1,8,0.6483903252710592,0.03367683815508305,0.7181818181818181
4,2,2,1,128,0.6520266889074229,0.06374548952647385,0.7181818181818181
2,256,2,1,64,0.6520767306088407,0.036481494812567884,0.6454545454545455
2,64,2,1,16,0.6555963302752292,0.025302479524312926,0.7090909090909091
4,16,2,1,32,0.6739449541284405,0.029822017840601876,0.7727272727272727
4,2,2,1,256,0.6612844036697247,0.047940147292368014,0.6363636363636364
8,2,2,1,32,0.6757798165137615,0.03546367032807833,0.7363636363636363
4,128,2,1,64,0.6812844036697248,0.037592743660103935,0.7363636363636363
2,256,2,1,128,0.6300917431192661,0.03242259465851249,0.6181818181818182
8,128,2,1,32,0.7123936613844871,0.022837493555272103,0.7363636363636363
2,64,2,1,32,0.6465387823185987,0.022579844882759246,0.6090909090909091
4,2,2,1,512,0.6465721434528774,0.031970934232268426,0.7
2,256,2,1,256,0.6466555462885738,0.05352137699978505,0.7090909090909091
4,16,2,1,64,0.6612176814011677,0.020068046409542316,0.7
8,16,2,1,32,0.6996663886572143,0.012633258534619865,0.7454545454545455
4,128,2,1,128,0.6941284403669725,0.019029566477011622,0.7727272727272727
8,2,2,1,64,0.6684570475396163,0.030215796474202476,0.7181818181818181
4,4,2,1,2,0.6612010008340283,0.03400252498713938,0.6272727272727273
2,256,2,1,512,0.6428023352793996,0.02530824108826467,0.6909090909090909
16,2,2,1,16,0.714278565471226,0.014779622583599987,0.6909090909090909
4,4,2,1,4,0.6501918265221018,0.015533217828025626,0.6454545454545455
4,1,2,1,2,0.677698081734779,0.033573701441701395,0.6545454545454545
4,16,2,1,128,0.6649040867389491,0.035301708126966834,0.7272727272727273
4,128,2,1,256,0.6978648874061718,0.03746886108459851,0.7181818181818181
8,2,2,1,128,0.6869057547956631,0.03992409330538139,0.7090909090909091
8,128,2,1,64,0.706905754795663,0.025830998684057763,0.7363636363636363
4,1,2,1,4,0.6428690575479565,0.031615725806701925,0.6181818181818182
4,4,2,1,8,0.6959466221851542,0.04175388192687778,0.6454545454545455
4,1,2,1,8,0.6411175979983319,0.04892385033831695,0.5909090909090909
8,16,2,1,64,0.6739949958298582,0.03914408471546303,0.6909090909090909
4,16,2,1,256,0.6685070892410342,0.02024691059759358,0.7363636363636363
4,128,2,1,512,0.6612510425354463,0.027917190386583447,0.6636363636363637
8,2,2,1,256,0.6465387823185987,0.02909504068112114,0.6272727272727273
4,4,2,1,16,0.6959633027522936,0.02051110255043247,0.7
4,1,2,1,16,0.6191993327773144,0.05167925059869101,0.6818181818181818
