Number of Estimators,Max Depth,Min Samples Split,Min Samples Leaf,Max Leaf Nodes,Mean Cross Val Score,STD,Test Evaluation Score
4,64,2,1,512,0.7360256410256409,0.06877150610970341,0.8974358974358975
4,1,2,1,512,0.6803846153846154,0.09021815914391203,0.8205128205128205
2,32,2,1,16,0.7211538461538461,0.0779778117094899,0.8205128205128205
2,8,2,1,8,0.6900000000000001,0.09499697216531991,0.7948717948717948
2,128,2,1,128,0.7307692307692307,0.02228336427632508,0.7435897435897436
2,32,2,1,32,0.6803846153846154,0.03955621670583394,0.7692307692307693
4,128,2,1,2,0.6803846153846154,0.09324453369379801,0.9230769230769231
4,2,2,1,2,0.7205128205128205,0.11270754834078972,0.8461538461538461
2,8,2,1,16,0.7411538461538462,0.029331809176827088,0.8205128205128205
8,2,2,1,2,0.7616666666666665,0.061664401045858755,0.8717948717948718
4,8,2,1,512,0.7261538461538461,0.05007948973951987,0.8461538461538461
2,128,2,1,256,0.7462820512820513,0.04187502146564456,0.7948717948717948
2,32,2,1,64,0.7155128205128205,0.0505011049800671,0.8461538461538461
4,2,2,1,4,0.7561538461538462,0.04784061583361889,0.9230769230769231
8,16,2,1,4,0.7816666666666666,0.10406087329896034,0.9487179487179487
4,128,2,1,4,0.7305128205128206,0.11185234349606686,0.7948717948717948
4,16,2,1,2,0.7008974358974359,0.09361046486451126,0.8717948717948718
2,128,2,1,512,0.7562820512820514,0.04692447805110013,0.7948717948717948
2,32,2,1,128,0.761025641025641,0.09612426895525798,0.7435897435897436
8,2,2,1,4,0.801923076923077,0.08353427450116843,0.9487179487179487
4,2,2,1,8,0.7362820512820514,0.10195137488154189,0.9743589743589743
2,256,2,1,2,0.6653846153846154,0.06000219150063077,0.5897435897435898
4,128,2,1,8,0.7412820512820513,0.03225473885849515,0.8717948717948718
8,128,2,1,8,0.7965384615384614,0.07760128373515386,0.8974358974358975
4,16,2,1,4,0.741025641025641,0.10353387678600937,0.9230769230769231
2,32,2,1,256,0.7257692307692308,0.034730104299320566,0.8461538461538461
2,256,2,1,4,0.7457692307692307,0.0778740364240928,0.8974358974358975
4,2,2,1,16,0.7664102564102564,0.07203325807958084,0.8974358974358975
8,16,2,1,8,0.7766666666666666,0.058236182837244674,0.9743589743589743
2,256,2,1,8,0.736025641025641,0.10949528583453651,0.8717948717948718
8,2,2,1,8,0.812051282051282,0.08103274068213978,0.9230769230769231
2,32,2,1,512,0.746025641025641,0.0490816384413169,0.8205128205128205
4,128,2,1,16,0.7716666666666667,0.05300999124313863,0.8717948717948718
4,16,2,1,8,0.7716666666666667,0.06382040465217317,0.8717948717948718
4,2,2,1,32,0.7466666666666667,0.07788121233464465,0.9230769230769231
2,64,2,1,2,0.665,0.10354943363969014,0.6666666666666666
2,256,2,1,16,0.7507692307692307,0.0759710315392393,0.7435897435897436
4,2,2,1,64,0.7815384615384615,0.08744153677580618,0.8717948717948718
8,128,2,1,16,0.7511538461538463,0.041234245292940314,0.8974358974358975
2,64,2,1,4,0.7207692307692307,0.055234840218511536,0.8461538461538461
4,16,2,1,16,0.7358974358974358,0.06443631067036164,0.8717948717948718
2,256,2,1,32,0.7153846153846153,0.0533924721428528,0.717948717948718
4,128,2,1,32,0.7256410256410256,0.042251322198032126,0.8205128205128205
8,2,2,1,16,0.7462820512820513,0.07907918450988345,0.9487179487179487
2,64,2,1,8,0.7105128205128206,0.035036845450454025,0.8717948717948718
4,2,2,1,128,0.7406410256410256,0.09108123979144161,0.8717948717948718
8,16,2,1,16,0.7917948717948718,0.0678475298811948,0.9230769230769231
2,256,2,1,64,0.7306410256410256,0.05089016934500397,0.9230769230769231
2,64,2,1,16,0.695,0.07292877470617917,0.7948717948717948
4,16,2,1,32,0.7255128205128206,0.06373535850479217,0.8717948717948718
4,2,2,1,256,0.740897435897436,0.09282830396540709,0.7692307692307693
4,128,2,1,64,0.7406410256410256,0.05626671714478419,0.8461538461538461
2,256,2,1,128,0.6797435897435897,0.054580764276985244,0.8205128205128205
8,2,2,1,32,0.7255128205128205,0.0874076952787988,0.8461538461538461
2,64,2,1,32,0.7460256410256412,0.0330769230769231,0.8717948717948718
4,2,2,1,512,0.7611538461538461,0.08173778250452723,0.8461538461538461
8,128,2,1,32,0.7612820512820513,0.054672535404420984,0.8974358974358975
2,256,2,1,256,0.6858974358974359,0.05300937110905997,0.717948717948718
4,16,2,1,64,0.791923076923077,0.07067068575523416,0.9230769230769231
4,128,2,1,128,0.750897435897436,0.03928519770487827,0.8461538461538461
4,4,2,1,2,0.6243589743589744,0.07169292212054669,0.8205128205128205
8,16,2,1,32,0.7511538461538461,0.0519640547386207,0.9487179487179487
8,2,2,1,64,0.8071794871794872,0.08616243089097138,0.9487179487179487
2,256,2,1,512,0.6498717948717948,0.041859317939454584,0.717948717948718
4,1,2,1,2,0.6848717948717948,0.08909066513428716,0.7435897435897436
4,4,2,1,4,0.7769230769230769,0.08823363433227671,0.8974358974358975
4,16,2,1,128,0.7615384615384615,0.018405363252316023,0.8461538461538461
4,128,2,1,256,0.7712820512820513,0.046512848782961455,0.9230769230769231
16,2,2,1,16,0.786923076923077,0.10457374108316515,0.8974358974358975
8,2,2,1,128,0.7816666666666665,0.08530372698929571,0.9230769230769231
4,1,2,1,4,0.716025641025641,0.11987967888511776,0.6410256410256411
