Name,SMILES_List,Ratio_List,Biodegradability
AC_101,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCCCCO']","[1, 1]",0
AC_102,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCCCCCO']","[1, 1]",0
AC_103,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
AC_105,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
AC_106,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(C)(C)CO']","[1, 1]",0
AC_109,"['C(=O)c(cc1)ccc1C(=O)', 'OC(C)C(C)O']","[1, 1]",0
AC_110,"['C(=O)c(cc1)ccc1C(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
AC_111,"['C(=O)c(cc1)ccc1C(=O)', 'OCCOCCO']","[1, 1]",0
AC_112,"['C(=O)c(cc1)ccc1C(=O)', 'OCCOCCOCCO']","[1, 1]",0
AC_16,"['C(=O)CCCCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
AC_241,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",0
AC_266,"['C(=O)c(cc1)ccc1C(=O)', 'OCCC(C)CCO']","[1, 1]",1
AC_277,"['C(=O)CCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
AC_301,"['C(=O)CCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
AC_32,"['C(=O)CCCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
AC_36,"['C(=O)c(cc1)ccc1C(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
AC_41,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
AC_46,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
AC_55,"['C(=O)CCCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
AC_66,"['C(=O)CCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
AC_77,"['C(=O)CCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
AC_98,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCO']","[1, 1]",0
AC_99,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCO']","[1, 1]",0
DW_10-1,"['C(=O)COCC(=O)', 'OCCO']","[1, 1]",1
DW_10-10,"['C(=O)COCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",1
DW_10-11,"['C(=O)COCC(=O)', 'OCC(C)O']","[1, 1]",1
DW_10-2,"['C(=O)COCC(=O)', 'OCCCO']","[1, 1]",1
DW_10-3,"['C(=O)COCC(=O)', 'OCCCCO']","[1, 1]",1
DW_10-4,"['C(=O)COCC(=O)', 'OCCCCCO']","[1, 1]",1
DW_10-5,"['C(=O)COCC(=O)', 'OCCCCCCO']","[1, 1]",1
DW_10-6,"['C(=O)COCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
DW_10-8,"['C(=O)COCC(=O)', 'OCCCCCCCCO']","[1, 1]",1
DW_10-9,"['C(=O)COCC(=O)', 'OCCCCCCCCCO']","[1, 1]",1
DW_12-10,"['C(=O)CSCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
DW_12-11,"['C(=O)CSCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",1
DW_12-7,"['C(=O)CSCC(=O)', 'OCCO']","[1, 1]",1
DW_12-8,"['C(=O)CSCC(=O)', 'OCCCCO']","[1, 1]",1
DW_12-9,"['C(=O)CSCC(=O)', 'OCCCCCCO']","[1, 1]",1
DW_13-1,"['C(=O)CCCCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
DW_13-11,"['C(=O)CCCCC(=O)', 'OCC(C)O']","[1, 1]",1
DW_13-2,"['C(=O)CCCCC(=O)', 'OCC(C)CO']","[1, 1]",1
DW_13-3,"['C(=O)CCCCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
DW_13-4,"['C(=O)CCCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
DW_13-5,"['C(=O)CCCCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
DW_14-1,"['C(=O)CCCCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
DW_14-2,"['C(=O)CCCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",1
DW_14-7,"['C(=O)CCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
DW_14-8,"['C(=O)CCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
DW_15-1,"['C(=O)CCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
DW_15-11,"['C(=O)CCCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
DW_15-2,"['C(=O)CCC(=O)', 'OCC(C)CO']","[1, 1]",1
DW_15-3,"['C(=O)CCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
DW_15-4,"['C(=O)CCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
DW_15-5,"['C(=O)CCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
DW_15-6,"['C(=O)CCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
DW_15-9,"['C(=O)CCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",0
DW_16-10,"['C(=O)CSCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
DW_16-11,"['C(=O)CSCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
DW_16-6,"['C(=O)CSCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",1
DW_16-8,"['C(=O)CSCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
